singer,num_song,meanthumb,meansenti
Remady,2,3372.45454545,0.0108299746231
Haley Bennett,1,9193.125,0.120580808081
ZIZZ STUDIO,1,1975.0,0.142857142857
郑伊健,8,4115.94594595,0.0349847968159
江南诚,1,1496.0,0.0
流浪的蛙蛙,3,2050.11111111,0.0603174603174
Panda Eyes,6,4089.375,0.0174410343847
Zewelle,1,3164.0,0.0
Sou,2,3417.66666667,-0.0278539279869
Des'ree,1,1557.0,-0.142857142857
Melanie Martinez,5,3384.31034483,0.0155768389051
W&W,4,3961.0,0.0614583333333
Tacke竹桑,2,3013.0,-0.138286713287
Zayion McCall,1,6806.0,0.25
萧敬腾,12,5111.09803922,0.0289209248995
FKJ,2,2581.83333333,0.0643512189565
Arthur Rubinstein,1,2647.2,0.105932539682
Bernis,1,5689.66666667,0.0555555555557
成龙,4,5270.61904762,0.0997584337123
XiaoNuo丶,1,1931.0,0.0
Epistra,1,3022.0,0.0
大乔小乔,4,3848.42857143,0.151765723772
痛仰乐队,6,4009.89285714,0.0546628524598
Stack,2,2390.66666667,0.0
plenty,1,1857.0,0.0
Ms.OOJA,1,4268.5,0.0793911970382
洪大光,1,2539.0,0.355555555556
王鹤铮,1,3216.0,-0.0418552036198
张希,1,3255.2,0.00333333333332
Jack Howes,1,5143.0,0.047619047619
Raphaël Beau,3,6969.48,0.0425254356926
刘瑞琦,16,8579.96511628,0.0615899899771
Ludovico Einaudi,6,2769.4,0.0484285746671
沈雨萱,1,6165.5,0.0902768501822
宇西,6,4868.14285714,0.0733199671051
陈少华,1,2241.0,0.142857142857
松元環季,1,2227.66666667,0.166666666667
Foxtail-Grass Studio,8,3870.42857143,0.018327246376
大森靖子,2,2174.0,0.0
Whale Fall,1,1928.0,0.142857142857
绯村柯北,3,4099.81818182,0.037754687927
Steve James,2,4492.11111111,-0.00799490545354
doa,1,3567.66666667,-0.116666666667
温兆伦,1,2525.0,0.2
Club 8,2,1818.5,0.0526315789475
Simple is Good,1,2418.0,0.25
Monsta,1,2049.0,-0.15293040293
Linda Ronstadt,2,5759.42857143,-0.0217229199372
sAr,1,4876.66666667,0.021978021978
伍佰,7,5721.58064516,0.0668202764977
Laszlo,1,3882.0,0.00774193548385
Joris Voorn,1,1577.0,0.0
Jacob Latimore,1,6164.0,0.0
草东没有派对,5,4043.0952381,0.0860885624091
Kids United,2,4620.42857143,-0.025
愛殺寶貝,1,3948.42857143,0.116706822589
田一龙,1,1538.0,0.333333333333
A Fine Frenzy,1,13092.5,-0.012829567488
FM Static,1,2994.0,0.166666666667
Andy Tubman,1,3381.2,-0.0632559660019
巴赫,2,4013.33333333,-0.0319444444447
King Deco,1,3141.0,0.0
云の泣,3,3934.90909091,0.0282502257101
Flo Rida,10,9546.625,-0.0165809283309
盛一伦,1,4152.5,0.0206526806527
